user_name,login_auth_attempts,failed_logins,hosts_accessed,processes_started,privileged_actions,mapped_credentials
Comp008279$,755,0,5,715,32,390
Comp008372$,704,0,3,643,35,339
Comp008581$,1846,0,9,1800,71,970
Comp008789$,698,0,3,0,11,385
Comp008967$,94,0,1,493,28,0
Comp009032$,898,0,3,0,17,479
Comp009136$,667,0,2,757,39,332
Comp009312$,1101,1,5,1666,38,566
Comp009410$,698,0,2,0,16,356
Comp009472$,734,0,4,820,56,363
Comp009488$,795,0,3,734,39,388
Comp009583$,554,1,5,1024,52,190
Comp009700$,814,0,3,951,22,428
Comp009724$,867,0,5,946,46,423
Comp010016$,966,0,3,2980,42,497
Comp010133$,775,0,3,0,8,453
Comp010250$,730,0,3,606,20,350
Comp010292$,847,0,3,0,17,445
Comp010297$,664,0,2,841,37,323
Comp010338$,1162,0,3,0,28,600
Comp010804$,1418,0,3,1383,334,397
Comp010842$,973,0,3,832,21,518
Comp010933$,752,0,3,0,13,423
Comp011108$,729,0,3,416,25,356
Comp011144$,433,0,3,384,26,208
Comp011251$,743,0,2,884,44,362
Comp011322$,540,0,2,0,17,274
Comp011376$,1056,0,3,911,41,535
Comp011736$,890,0,2,815,36,448
Comp011757$,377,1,5,690,12,192
Comp011805$,175,1,3,446,22,74
Comp011893$,1118,1,3,1140,52,564
Comp012105$,951,0,4,907,38,487
Comp012234$,1329,0,4,1068,42,678
Comp012299$,1116,0,5,1115,40,571
Comp012316$,3755,0,4,312,19,754
Comp012360$,863,0,3,1041,33,447
Comp012419$,196,0,3,294,15,94
Comp012473$,890,1,3,846,21,472
Comp012579$,882,0,4,1069,37,440
Comp012603$,949,0,2,863,38,488
Comp012701$,1023,0,4,1067,42,526
Comp012871$,620,0,7,399,22,278
Comp013003$,985,0,2,874,39,493
Comp013011$,847,0,2,0,17,455
Comp013103$,798,0,2,0,16,427
Comp013109$,1038,0,2,0,0,610
Comp013132$,11789,0,4,0,17,7757
Comp013225$,225,0,3,246,15,115
Comp013287$,387,0,5,627,26,200
Comp013290$,1047,0,3,0,31,561
Comp013303$,760,0,3,6,16,408
Comp013339$,848,0,3,864,21,464
Comp013477$,229,0,4,387,21,105
Comp013559$,897,0,3,961,39,460
Comp013653$,670,0,2,782,21,359
Comp014213$,1091,0,2,808,40,546
Comp014310$,963,0,4,939,42,491
Comp014370$,1091,0,5,1032,40,557
Comp014432$,646,0,4,737,21,309
Comp014531$,99,0,4,158,8,50
Comp014546$,321,0,3,464,13,174
Comp014603$,946,0,3,1010,41,481
Comp014675$,777,0,3,829,44,387
Comp014684$,614,0,2,611,20,2
Comp014941$,875,0,4,0,17,484
Comp014944$,994,0,5,1283,37,512
Comp015045$,144,1,4,135,6,83
Comp015112$,820,0,2,1020,40,414
Comp015259$,245,0,5,253,10,128
Comp015423$,1480,3,5,998,19,781
Comp015425$,93,0,3,0,1,57
Comp015592$,896,0,3,824,42,444
Comp015598$,799,0,2,0,17,427
Comp015667$,761,0,2,740,42,365
Comp015687$,1226,0,3,1014,47,623
Comp015803$,193,0,3,329,12,96
Comp015815$,897,0,2,982,22,473
Comp015973$,927,0,2,0,17,498
Comp016000$,871,0,2,0,17,470
Comp016123$,847,0,2,793,17,466
Comp016303$,1374,0,4,0,18,746
Comp016332$,1454,0,1,0,0,823
Comp016367$,806,0,3,844,45,398
Comp016412$,790,0,5,938,20,417
Comp016588$,145,0,3,0,1,84
Comp016614$,651,0,3,641,21,318
Comp016625$,206,0,5,322,15,102
Comp016710$,1045,3,5,971,22,558
Comp016854$,1042,0,4,1804,39,543
Comp016868$,122,0,3,93,6,65
Comp016929$,901,0,3,789,40,451
Comp016952$,1451,0,6,1183,39,747
Comp016997$,902,2,6,952,49,457
Comp017215$,805,0,2,871,41,398
Comp017271$,1077,0,3,877,37,564
Comp017449$,1093,0,5,1112,72,538
Comp017623$,43,0,2,55,5,22
Comp017664$,299,0,4,270,16,150
Comp017671$,1137,0,3,0,32,611
Comp017792$,792,0,3,825,24,410
Comp017818$,266,6,3,581,19,127
Comp017928$,847,0,2,0,18,457
Comp017986$,693,0,3,749,22,355
Comp017994$,958,0,2,815,18,511
Comp018032$,256,0,4,0,3,146
Comp018091$,6728,0,5,1265,46,4313
Comp018141$,888,0,2,853,42,448
Comp018249$,741,0,2,767,45,351
Comp018286$,1151,1,5,1212,63,559
Comp018444$,967,1,4,874,38,495
Comp018815$,597,0,2,327,23,280
Comp018827$,933,1,4,752,60,453
Comp018864$,1023,0,3,0,17,557
Comp018975$,73,0,3,115,3,42
Comp019023$,972,0,3,1011,22,509
Comp019244$,15,0,1,0,0,12
Comp019300$,951,0,4,996,40,495
Comp019845$,481,0,2,649,25,217
Comp020377$,417,0,3,454,20,211
Comp020391$,268,0,3,386,21,132
Comp020425$,1089,1,3,1118,43,564
Comp020600$,11,0,2,19,0,8
Comp020722$,803,0,3,0,17,405
Comp020784$,298,0,5,353,26,136
Comp020889$,588,3,4,646,44,281
Comp020942$,1060,0,2,783,43,534
Comp020967$,704,0,4,401,22,340
Comp021073$,782,0,3,877,44,386
Comp021121$,893,0,2,811,39,454
Comp021433$,893,0,2,0,16,485
Comp021603$,907,0,5,828,19,487
Comp021675$,202,0,3,225,10,105
Comp021678$,646,0,3,597,44,286
Comp021697$,1028,0,5,993,41,543
Comp021706$,966,0,4,1723,38,486
Comp021760$,895,1,3,941,19,477
Comp021873$,188,0,4,272,9,97
Comp021988$,1224,0,3,0,17,669
Comp022087$,46,0,2,52,3,28
Comp022100$,124,0,3,308,5,66
Comp022157$,161,0,4,257,11,83
Comp022219$,1160,0,3,1210,51,580
Comp022243$,1021,0,3,886,57,496
Comp022287$,710,0,2,812,19,374
Comp022291$,1146,0,4,885,36,602
Comp022306$,936,1,4,1097,36,477
Comp022327$,705,0,1,0,0,413
Comp022349$,71,0,2,71,6,39
Comp022383$,732,0,6,856,52,364
Comp022432$,1251,2,4,929,19,642
Comp022527$,53,0,1,0,0,34
Comp022671$,965,0,3,897,41,497
Comp022673$,940,0,5,925,67,452
Comp022685$,697,1,3,797,41,343
Comp022980$,951,0,4,858,46,489
Comp023011$,924,0,3,6,17,499
Comp023150$,932,1,4,925,39,481
Comp023305$,888,0,2,1723,38,446
Comp023451$,783,0,3,0,17,425
Comp023513$,1134,0,4,1131,66,560
Comp023550$,936,0,4,887,24,484
Comp023702$,1055,0,5,975,46,526
Comp023783$,110,0,4,99,4,60
Comp023905$,954,0,4,1096,22,511
Comp024026$,614,1,3,624,18,1
Comp024102$,971,0,5,0,10,531
Comp024154$,1078,2,6,922,37,555
Comp024346$,917,0,4,994,21,501
Comp024360$,591,0,5,659,25,304
Comp024640$,1529,0,4,927,57,830
Comp024702$,8786,0,5,1104,27,4419
Comp024705$,623,0,2,645,20,313
Comp024761$,395,0,5,435,25,190
Comp024856$,831,0,2,838,43,415
Comp024859$,896,0,3,1014,38,462
Comp024941$,8880,0,3,817,22,5809
Comp024950$,232,2,5,317,15,117
Comp025189$,1141,0,4,0,16,599
Comp025206$,902,0,5,894,41,463
Comp025308$,747,0,2,813,19,392
Comp025404$,911,0,3,990,41,453
Comp025409$,344,0,2,758,5,178
Comp025507$,970,0,3,845,43,486
Comp025585$,622,0,2,584,16,319
Comp025686$,989,0,3,5,17,543
Comp025891$,843,1,3,1016,23,443
Comp025998$,917,0,2,737,40,441
Comp026012$,1126,0,6,938,40,591
Comp026016$,637,0,3,0,10,357
Comp026066$,867,2,3,869,45,427
Comp026100$,1075,0,4,1769,39,553
Comp026147$,900,0,3,1141,48,447
Comp026180$,814,2,7,972,25,413
Comp026332$,886,0,2,761,32,447
Comp026691$,507,0,3,0,8,273
Comp026744$,960,0,2,901,42,497
Comp026764$,900,0,3,914,18,482
Comp026768$,704,0,2,794,18,370
Comp026841$,168,0,4,223,7,92
Comp027030$,100,0,2,48,5,55
Comp027087$,797,0,3,964,20,414
Comp027315$,745,0,3,721,21,362
Comp027322$,919,0,2,0,31,491
Comp027425$,951,0,3,1000,49,479
Comp027709$,1117,0,4,1041,46,569
Comp028050$,104,0,2,118,6,60
Comp028189$,1018,0,3,897,23,542
Comp028683$,854,0,3,0,17,447
Comp028741$,6560,0,5,721,23,3310
Comp028802$,800,0,3,839,21,420
Comp028993$,796,0,3,787,20,420
Comp029040$,923,0,4,953,44,430
Comp029081$,14,0,2,0,0,4
Comp029134$,958,0,3,880,45,477
Comp029382$,1033,2,4,1458,28,546
Comp029395$,926,0,3,863,22,486
Comp029814$,954,0,3,0,18,512
Comp029931$,867,0,3,1006,21,460
Comp029960$,278,0,3,276,17,138
Comp029969$,840,0,3,896,43,416
Comp030005$,1028,0,2,0,1,581
Comp030023$,640,0,1,0,0,380
Comp030189$,759,0,3,774,19,397
Comp030283$,881,0,3,914,20,473
Comp030333$,695,0,2,1023,18,356
Comp030361$,925,0,2,882,21,495
Comp030371$,48,1,3,117,5,22
Comp030394$,878,0,4,1029,36,450
Comp030407$,884,0,3,0,16,476
Comp030535$,804,0,3,0,16,432
Comp030551$,953,2,3,1409,22,508
Comp030589$,705,0,4,623,31,340
Comp030608$,1121,0,4,1183,43,578
Comp030664$,918,0,4,1307,20,482
Comp030698$,8787,0,4,3,31,4444
Comp030794$,1251,0,1,0,0,713
Comp030837$,1014,0,4,886,35,531
Comp030952$,789,0,3,617,33,379
Comp030955$,356,0,4,0,4,193
Comp030960$,763,0,3,655,45,347
Comp030964$,917,0,3,804,34,467
Comp030999$,877,0,3,1886,44,437
Comp031023$,944,0,3,880,45,469
Comp031049$,863,0,2,854,21,456
Comp031083$,848,0,2,1006,30,429
Comp031152$,891,0,4,1147,22,459
Comp031357$,466,0,2,199,14,0
Comp031411$,1504,0,4,1464,81,783
Comp031604$,885,0,3,0,16,480
Comp031740$,1220,1,5,1034,22,620
Comp031897$,148,0,3,165,10,76
Comp031957$,1554,0,3,2969,55,851
Comp032115$,762,26,3,2003,51,351
Comp032135$,711,0,4,866,43,352
Comp032164$,156,0,3,232,12,80
Comp032195$,1038,0,3,955,24,553
Comp032241$,870,0,2,1057,20,459
Comp032429$,422,0,3,0,0,235
Comp032565$,152,0,1,0,0,82
Comp032593$,854,2,3,843,18,460
Comp032626$,997,0,3,987,37,516
Comp032744$,88,44,1,0,0,88
Comp032754$,926,0,7,1075,45,430
Comp032780$,1068,0,3,0,18,580
Comp032933$,1070,0,2,817,53,528
Comp032945$,806,0,4,0,15,407
Comp032967$,1087,0,2,903,43,542
Comp033086$,782,1,3,990,45,378
Comp033114$,1011,0,2,875,42,519
Comp033225$,417,1,6,661,32,207
Comp033313$,935,0,1,0,1,541
Comp033327$,1062,0,4,967,23,559
Comp033328$,1059,0,2,0,31,553
Comp033783$,716,0,4,903,37,361
Comp033855$,605,0,2,829,32,285
Comp033863$,903,0,6,1706,23,486
Comp033947$,1037,0,2,775,38,530
Comp034117$,276,0,4,0,4,133
Comp034118$,1117,0,5,912,41,570
Comp034333$,296,0,3,1943,57,94
Comp034574$,872,0,2,795,40,450
Comp034575$,930,0,3,876,40,481
Comp034689$,976,0,2,1665,40,507
Comp034750$,1155,0,6,1423,54,583
Comp034911$,1159,0,3,957,36,615
Comp035076$,366,0,4,421,8,189
Comp035141$,1054,0,4,1254,41,547
Comp035383$,907,0,3,956,45,450
Comp035424$,902,0,2,0,17,473
Comp035462$,1136,0,5,1627,45,581
Comp035483$,764,0,3,725,43,386
Comp035757$,607,0,2,483,23,306
Comp035823$,857,1,4,918,46,430
Comp035876$,973,0,2,1158,40,499
Comp035923$,1154,0,2,1130,41,597
Comp036044$,1185,0,2,0,0,681
Comp036055$,790,0,2,908,41,389
Comp036181$,971,0,6,893,48,494
Comp036189$,868,0,2,0,16,471
Comp036251$,1086,0,3,768,21,579
Comp036319$,1058,0,2,841,37,534
Comp036396$,876,0,2,0,17,464
Comp036555$,916,0,3,926,21,499
Comp036557$,904,1,4,881,46,450
Comp036572$,301,0,4,566,22,110
Comp036601$,742,0,4,0,15,376
Comp036613$,1090,0,3,860,22,591
Comp036730$,991,0,2,859,34,522
Comp036838$,954,0,2,866,45,473
Comp037097$,1003,0,3,0,29,540
Comp037102$,404,0,4,1216,44,140
Comp037184$,946,0,2,1083,41,485
Comp037269$,826,0,5,1658,31,415
Comp037360$,1193,0,3,942,43,596
Comp037430$,855,0,2,791,37,434
Comp037465$,227,0,4,419,21,108
Comp037504$,882,0,4,821,19,462
Comp037681$,6666,0,4,1054,42,3346
Comp037707$,998,0,3,809,38,514
Comp038121$,1258,0,4,1333,73,620
Comp038289$,273,0,3,0,6,155
Comp038478$,562,0,2,710,24,266
Comp038522$,4,0,1,0,0,3
Comp038634$,627,0,2,0,12,345
Comp038909$,1061,0,2,760,43,530
Comp038950$,1127,0,3,918,43,571
Comp038987$,990,0,3,918,59,478
Comp039053$,1170,0,3,0,32,607
Comp039089$,934,0,5,1433,40,470
Comp039448$,709,0,3,0,13,393
Comp039634$,304,0,3,345,21,142
Comp039658$,852,0,3,1009,37,429
Comp039713$,914,0,3,946,40,467
Comp039774$,192,0,3,331,12,92
Comp039798$,872,1,3,920,37,452
Comp039858$,179,0,3,239,9,89
Comp039898$,895,0,4,826,22,476
Comp040119$,750,0,2,1056,42,378
Comp040151$,846,0,3,0,16,456
Comp040368$,544,0,3,466,21,273
Comp040600$,1053,1,4,1496,42,535
Comp040775$,851,0,5,781,19,441
Comp040783$,1140,3,5,1740,38,597
Comp040877$,608,0,2,835,36,286
Comp040901$,1175,0,2,872,36,609
Comp040934$,1144,2,4,1257,41,577
Comp041182$,1029,0,2,0,0,599
Comp041478$,852,0,2,811,22,446
Comp041480$,653,0,3,783,44,306
Comp041513$,48,0,2,51,1,30
Comp041528$,893,0,4,1110,43,455
Comp041592$,960,0,3,929,20,519
Comp041611$,907,0,5,866,34,461
Comp041661$,770,0,2,0,17,407
Comp041670$,723,1,4,934,22,371
Comp041727$,200,1,4,364,10,99
Comp041781$,1024,4,3,1708,64,502
Comp041898$,744,0,3,906,20,386
Comp042256$,802,0,2,800,45,394
Comp042299$,186,0,3,382,9,98
Comp042447$,631,0,3,677,19,317
Comp042810$,235,2,3,287,16,110
Comp043310$,813,0,3,0,17,439
Comp043352$,643,0,4,826,36,309
Comp043604$,628,0,2,605,18,1
Comp043645$,845,0,4,982,61,409
Comp043703$,994,0,4,1107,39,509
Comp043718$,889,0,3,959,19,468
Comp043824$,695,0,3,776,40,334
Comp043827$,728,0,3,798,33,366
Comp043858$,1032,0,3,1105,44,526
Comp043941$,1214,0,5,945,53,610
Comp044022$,60,0,4,72,2,37
Comp044035$,898,0,4,970,45,456
Comp044095$,36,0,1,0,0,25
Comp044139$,948,0,4,980,43,483
Comp044445$,818,0,3,830,45,404
Comp044454$,911,0,3,932,36,480
Comp044467$,461,0,1,0,0,0
Comp044475$,949,0,4,882,42,470
Comp044496$,1328,0,5,2518,47,657
Comp044587$,154,0,4,222,15,69
Comp044686$,1181,0,5,1033,46,599
Comp044845$,1099,0,4,1609,54,540
Comp044849$,1086,0,3,635,330,443
Comp044955$,323,0,2,771,25,147
Comp045055$,991,0,2,857,59,479
Comp045198$,849,0,3,859,23,439
Comp045369$,148,1,3,215,11,73
Comp045383$,901,0,2,1057,41,466
Comp045422$,972,0,4,6,17,529
Comp045449$,190,3,4,180,9,96
Comp045453$,1125,0,4,890,45,570
Comp045523$,921,0,1,0,0,485
Comp045621$,994,0,4,1174,44,507
Comp045725$,867,0,4,1066,22,462
Comp046007$,817,0,2,756,42,389
Comp046016$,584,0,3,673,24,1
Comp046031$,898,1,4,1103,25,477
Comp046039$,154,0,3,257,11,70
Comp046152$,1012,0,2,877,38,521
Comp046216$,756,0,2,809,42,383
Comp046317$,1181,0,3,923,56,591
Comp046435$,165,0,4,211,7,90
Comp046450$,991,0,2,776,19,530
Comp046528$,1103,0,5,986,35,583
Comp046784$,804,0,3,0,16,428
Comp047031$,880,0,3,1041,25,469
Comp047076$,980,0,2,1125,44,489
Comp047107$,720,0,2,0,0,406
Comp047312$,755,0,3,0,16,389
Comp047333$,917,0,4,1664,38,480
Comp047620$,89,0,1,0,0,58
Comp047848$,782,0,2,742,22,406
Comp047853$,1062,0,1,0,1,618
Comp047909$,915,0,3,1212,41,470
Comp047987$,775,0,2,651,19,406
Comp047992$,1677,0,6,0,17,458
Comp048169$,821,0,3,844,42,406
Comp048253$,896,0,6,849,19,486
Comp048571$,460,0,5,772,23,228
Comp048574$,863,0,2,848,21,463
Comp048619$,290,1,3,355,9,148
Comp048868$,887,0,3,5,16,483
Comp048990$,932,3,3,953,38,477
Comp048998$,516,0,2,602,19,0
Comp049004$,742,0,2,957,22,386
Comp049075$,1099,1,4,878,33,554
Comp049267$,449,0,5,770,39,214
Comp049527$,240,0,3,0,1,139
Comp049617$,1011,0,2,0,17,550
Comp049707$,907,0,2,0,20,490
Comp049905$,991,0,3,997,43,504
Comp050396$,963,0,2,832,43,481
Comp050453$,21817,0,4,881,39,10921
Comp050550$,1239,0,3,0,31,661
Comp050625$,168,0,4,227,9,80
Comp050701$,1374,0,4,821,39,697
Comp050846$,953,1,5,1099,22,513
Comp050867$,978,0,2,1208,43,499
Comp050888$,518,0,2,0,17,263
Comp050909$,1010,0,2,878,33,532
Comp050983$,794,1,5,854,22,405
Comp051152$,1042,0,3,919,43,519
Comp051298$,752,0,3,6,11,416
Comp051396$,828,0,2,0,16,441
Comp051649$,843,0,5,1051,52,420
Comp051735$,224,0,4,281,13,113
Comp052349$,751,0,2,779,37,372
Comp052615$,538,0,2,326,20,3
Comp052628$,963,0,4,1662,55,483
Comp052666$,880,0,3,805,23,465
Comp052693$,379,0,3,337,40,0
Comp052715$,132,0,3,131,9,66
Comp052868$,952,0,2,902,40,488
Comp052885$,849,0,4,999,44,418
Comp053022$,687,0,4,566,26,319
Comp053101$,842,0,2,814,21,442
Comp053112$,724,0,3,0,15,400
Comp053183$,101,0,3,133,16,43
Comp053192$,1042,0,3,0,31,565
Comp053358$,81,0,4,220,4,45
Comp053456$,802,1,4,898,47,382
Comp053468$,1028,0,4,1235,46,517
Comp053507$,1130,1,5,740,10,716
Comp053539$,847,0,3,0,16,451
Comp053866$,180,3,4,167,6,91
Comp053876$,1113,53,5,1091,18,571
Comp053889$,850,0,3,799,46,421
Comp053989$,1098,0,5,940,42,568
Comp054038$,968,0,4,971,41,485
Comp054088$,769,0,4,833,40,388
Comp054195$,1035,1,3,972,31,543
Comp054335$,69,0,5,75,6,35
Comp054439$,208,0,5,289,8,108
Comp054515$,1011,0,5,1022,40,524
Comp054566$,1042,0,4,1011,22,554
Comp054601$,953,0,2,1286,51,464
Comp054743$,902,0,1,0,0,504
Comp054923$,1035,0,5,1126,40,527
Comp054986$,1043,0,4,1180,58,518
Comp054990$,1035,0,3,0,17,561
Comp055001$,927,0,3,0,17,505
Comp055070$,308,1,3,384,97,67
Comp055128$,906,0,6,918,21,484
Comp055134$,609,0,4,968,20,293
Comp055268$,735,0,5,832,39,365
Comp055635$,1039,0,2,1029,42,541
Comp055724$,861,0,2,798,40,434
Comp055811$,955,0,5,959,18,513
Comp055874$,1076,0,4,905,85,498
Comp055879$,1132,0,3,1160,41,577
Comp055891$,929,0,4,1165,42,480
Comp056150$,135,0,4,322,11,67
Comp056180$,605,1,3,975,23,2
Comp056366$,155,0,4,163,11,78
Comp056380$,793,0,5,977,20,417
Comp056527$,948,0,4,997,41,487
Comp056662$,971,0,4,909,43,484
Comp056785$,819,0,2,1087,23,424
Comp056794$,855,0,4,1492,54,427
Comp056833$,682,0,2,789,22,344
Comp056979$,819,0,2,912,41,408
Comp057201$,930,0,4,871,37,486
Comp057418$,982,0,2,5,16,531
Comp057426$,950,0,4,690,45,330
Comp057498$,1066,0,4,890,38,553
Comp057708$,765,0,2,0,1,2
Comp057847$,756,0,3,872,22,390
Comp057936$,823,0,3,785,21,428
Comp058185$,1101,0,2,0,31,594
Comp058232$,505,1,4,500,13,256
Comp058258$,801,0,3,730,21,405
Comp058485$,523,3,4,352,31,228
Comp058575$,33,0,2,41,2,20
Comp058617$,1135,0,3,1094,42,576
Comp058632$,230,0,4,288,14,120
Comp058641$,198,0,1,0,0,102
Comp058857$,1054,1,4,965,68,484
Comp058881$,888,0,2,811,19,477
Comp058895$,428,0,3,0,7,233
Comp059101$,773,1,4,901,20,403
Comp059139$,728,0,1,0,0,427
Comp059274$,877,0,3,0,15,476
Comp059469$,797,0,2,777,20,417
Comp059543$,1046,0,5,1149,67,516
Comp059707$,1509,0,5,1226,79,748
Comp059723$,744,1,4,898,44,360
Comp059952$,48,0,3,95,3,27
Comp060028$,1022,5,4,1115,35,524
Comp060158$,635,0,2,772,45,301
Comp060290$,825,0,2,0,16,446
Comp060316$,924,0,3,0,18,489
Comp060359$,726,0,2,614,34,348
Comp060364$,850,0,2,830,44,423
Comp060584$,604,0,4,0,8,322
Comp060678$,966,0,3,821,54,481
Comp060822$,830,0,3,933,37,423
Comp060853$,1038,0,4,836,39,527
Comp060940$,14,0,1,6635,7,0
Comp061086$,868,0,4,1023,21,456
Comp061168$,126,0,4,115,13,64
Comp061253$,778,0,2,802,18,414
Comp061402$,685,0,2,867,42,338
Comp061442$,844,0,4,0,17,465
Comp061513$,243,3,5,354,13,124
Comp061848$,904,0,3,942,54,440
Comp062045$,930,0,2,0,17,498
Comp062091$,409,0,5,439,36,188
Comp062400$,956,0,2,0,17,514
Comp062699$,183,0,3,231,17,89
Comp062775$,862,0,2,806,21,444
Comp063283$,777,0,3,781,22,404
Comp063299$,1198,0,7,232,17,169
Comp063548$,1044,1,3,913,41,538
Comp063616$,766,0,5,877,21,404
Comp063628$,146,2,5,163,5,77
Comp063824$,711,0,3,6232,47,15
Comp063888$,74,0,3,99,6,41
Comp063966$,986,0,4,1033,43,500
Comp063983$,885,0,4,1122,63,427
Comp064017$,923,0,2,1050,24,493
Comp064062$,1207,0,5,782,39,607
Comp064118$,349,0,5,886,25,166
Comp064124$,144,0,3,165,12,66
Comp064138$,11599,0,4,976,36,5824
Comp064174$,847,0,3,0,18,451
Comp064317$,862,0,3,770,38,432
Comp064342$,139,0,4,261,8,79
Comp064399$,318,0,3,590,12,161
Comp064442$,1408,0,2,1074,56,717
Comp064651$,934,0,4,824,40,477
Comp064818$,810,0,4,864,26,416
Comp065123$,795,0,2,856,17,425
Comp065145$,764,0,4,0,13,393
Comp065309$,659,0,1,0,0,359
Comp065362$,973,5,5,1352,18,513
Comp065382$,598,0,2,0,13,320
Comp065490$,893,0,2,816,19,475
Comp065505$,1140,0,2,894,44,581
Comp065600$,1001,0,3,2036,50,515
Comp065845$,153964,153131,2,831,21,438
Comp065897$,1041,0,3,846,20,550
Comp065969$,676,1,3,432,32,334
Comp066015$,276,0,3,591,18,134
Comp066032$,263,0,1,0,0,145
Comp066079$,1119,0,5,1204,75,538
Comp066130$,801,0,2,817,44,395
Comp066222$,1178,0,3,909,40,607
Comp066267$,786,0,2,0,17,430
Comp066408$,908,0,3,0,17,492
Comp066425$,1005,0,5,892,21,535
Comp066433$,732,0,3,0,12,407
Comp066524$,239,0,4,262,17,117
Comp066696$,9052,0,4,951,46,4537
Comp066780$,914,0,2,0,17,492
Comp067013$,807,0,3,827,40,403
Comp067027$,732,0,2,0,11,404
Comp067031$,130,0,5,178,9,69
Comp067139$,969,0,4,1708,37,495
Comp067167$,820,0,5,1225,21,422
Comp067238$,1160,0,5,940,54,595
Comp067389$,25,0,1,0,0,18
Comp067455$,721,0,2,751,20,372
Comp067502$,1019,0,4,1022,44,516
Comp067559$,982,0,1,0,1,567
Comp067947$,274,0,1,0,0,140
Comp068045$,690,0,2,0,0,407
Comp068098$,940,0,4,890,63,461
Comp068157$,797,0,2,826,41,396
Comp068170$,786,0,4,797,37,395
Comp068502$,999,0,4,983,45,502
Comp068506$,787,0,3,838,47,383
Comp068546$,863,0,3,748,37,433
Comp068691$,914,0,3,818,38,459
Comp068696$,1017,0,1,0,0,601
Comp068706$,1109,0,3,1047,35,580
Comp068814$,717,0,2,1134,93,285
Comp068848$,626,0,2,298,19,312
Comp068863$,1102,0,3,0,24,595
Comp068881$,1328,0,3,0,17,720
Comp069129$,785,0,5,207,13,296
Comp069483$,504,0,4,838,18,257
Comp069568$,856,0,2,1172,18,453
Comp069596$,424,1,4,366,21,106
Comp069704$,399,0,5,355,31,196
Comp070002$,107,0,4,158,11,50
Comp070045$,982,0,2,0,0,566
Comp070384$,356,0,3,0,6,196
Comp070521$,317,0,2,1,6,171
Comp070601$,882,0,2,893,43,449
Comp070614$,150,0,3,307,10,75
Comp070657$,935,0,3,1030,43,473
Comp070719$,513,0,1,0,0,0
Comp070827$,198,1,3,229,16,97
Comp070864$,141,1,5,169,9,72
Comp071086$,1276,0,4,933,54,656
Comp071088$,163,0,3,278,11,77
Comp071134$,190,0,3,216,13,94
Comp071226$,1074,0,6,1765,37,562
Comp071394$,899,0,3,805,38,470
Comp071412$,258,0,3,259,22,120
